Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/sd_arc_sym.bin: |V|=89247739, |E|=3880015728, param=524288, num_src=25, num_round=10
14 Round 4: 2.299758
11 Round 5: 2.077583
13 Round 6: 2.113385
14 Round 7: 2.180048
13 Round 8: 2.181741
13 Round 9: 2.121970
15 Round 10: 2.180824
11 Warmup Round: 2.361616
12 Round 1: 2.403648
12 Round 2: 2.352405
12 Round 3: 2.443956
13 Round 4: 2.333028
13 Round 5: 2.272913
12 Round 6: 2.350035
11 Round 7: 2.218987
11 Round 8: 2.416575
11 Round 9: 2.130398
13 Round 10: 2.533990
Average time: 2.157211	2.345594

source 17: 29754263  
16 Warmup Round: 3.373757
16 Round 1: 3.420687
16 Round 2: 3.375877
13 Round 3: 2.953416
15 Round 4: 3.307544
15 Round 5: 3.129217
15 Round 6: 3.226443
14 Round 7: 2.880010
15 Round 8: 3.144671
14 Round 9: 2.969559
13 Round 10: 2.861056
13 Warmup Round: 3.047458
11 Round 1: 3.040786
11 Round 2: 3.044098
12 Round 3: 3.076284
11 Round 4: 3.129506
11 Round 5: 3.085600
11 Round 6: 3.005673
10 Round 7: 3.047231
12 Round 8: 2.993815
11 Round 9: 3.105918
12 Round 10: 3.037120
Average time: 3.126848	3.056603

source 18: 60403278  
14 Warmup Round: 3.998562
13 Round 1: 3.744640
14 Round 2: 3.764109
13 Round 3: 3.694253
12 Round 4: 3.683813
14 Round 5: 4.030710
13 Round 6: 3.615096
14 Round 7: 3.804021
13 Round 8: 3.556533
14 Round 9: 3.898619
14 Round 10: 3.971969
10 Warmup Round: 2.861552
10 Round 1: 2.909891
11 Round 2: 3.038219
9 Round 3: 2.966431
10 Round 4: 2.923170
11 Round 5: 2.903165
9 Round 6: 2.874887
9 Round 7: 3.144672
10 Round 8: 3.070052
10 Round 9: 3.090681
10 Round 10: 2.819041
Average time: 3.776376	2.974021

source 19: 36608908  
16 Warmup Round: 3.284121
16 Round 1: 3.286656
16 Round 2: 3.121344
13 Round 3: 2.858931
16 Round 4: 3.159811
15 Round 5: 3.203009
14 Round 6: 2.966211
16 Round 7: 3.245309
14 Round 8: 2.888241
15 Round 9: 3.069947
13 Round 10: 2.967838
10 Warmup Round: 2.576169
11 Round 1: 2.591484
11 Round 2: 2.659068
9 Round 3: 2.549600
10 Round 4: 2.572261
12 Round 5: 2.596565
9 Round 6: 2.553607
9 Round 7: 2.571043
9 Round 8: 2.622905
10 Round 9: 2.530183
11 Round 10: 2.528654
Average time: 3.076730	2.577537

source 20: 68187494  
14 Warmup Round: 2.583594
13 Round 1: 2.503728
14 Round 2: 2.493300
15 Round 3: 2.692380
13 Round 4: 2.452254
15 Round 5: 2.691742
14 Round 6: 2.526633
15 Round 7: 2.623067
15 Round 8: 2.714858
13 Round 9: 2.441983
14 Round 10: 2.523563
10 Warmup Round: 2.191825
9 Round 1: 2.203588
10 Round 2: 2.279574
11 Round 3: 2.163903
10 Round 4: 2.215268
10 Round 5: 2.152622
10 Round 6: 2.171415
10 Round 7: 2.150861
10 Round 8: 2.210675
11 Round 9: 2.188278
11 Round 10: 2.159016
Average time: 2.566351	2.189520

source 21: 236499    
13 Warmup Round: 3.270175
15 Round 1: 3.365834
16 Round 2: 3.529002
16 Round 3: 3.650421
14 Round 4: 3.300018
15 Round 5: 3.341897
16 Round 6: 3.977634
16 Round 7: 3.664070
15 Round 8: 3.338738
13 Round 9: 3.255814
16 Round 10: 3.656067
12 Warmup Round: 3.075970
10 Round 1: 2.983750
9 Round 2: 2.992710
12 Round 3: 3.019954
11 Round 4: 2.951416
11 Round 5: 3.110214
12 Round 6: 2.982686
11 Round 7: 2.972848
11 Round 8: 2.995969
11 Round 9: 3.039137
11 Round 10: 2.964631
Average time: 3.507949	3.001332

source 22: 60936729  
15 Warmup Round: 3.260605
12 Round 1: 2.965499
15 Round 2: 3.635483
14 Round 3: 2.998320
12 Round 4: 2.942587
15 Round 5: 3.364677
15 Round 6: 3.195308
14 Round 7: 2.929949
13 Round 8: 2.938803
15 Round 9: 3.474003
14 Round 10: 3.053236
12 Warmup Round: 2.608016
11 Round 1: 2.569630
12 Round 2: 2.563788
10 Round 3: 2.493904
13 Round 4: 2.650314
11 Round 5: 2.559651
12 Round 6: 2.472468
10 Round 7: 2.589259
12 Round 8: 2.602668
12 Round 9: 2.536567
12 Round 10: 2.637307
Average time: 3.149786	2.567556

source 23: 64381898  
14 Warmup Round: 3.273671
12 Round 1: 2.934055
13 Round 2: 2.958376
11 Round 3: 2.917678
14 Round 4: 3.344859
12 Round 5: 2.924552
13 Round 6: 2.914156
13 Round 7: 2.893326
12 Round 8: 2.914433
14 Round 9: 3.051686
12 Round 10: 2.913844
15 Warmup Round: 2.635782
14 Round 1: 2.719118
15 Round 2: 2.823780
12 Round 3: 2.643952
13 Round 4: 2.707457
13 Round 5: 2.673589
15 Round 6: 2.676486
16 Round 7: 2.713445
16 Round 8: 2.801602
13 Round 9: 2.743870
14 Round 10: 2.623802
Average time: 2.976697	2.712710

source 24: 14983901  
14 Warmup Round: 4.396659
15 Round 1: 4.392468
15 Round 2: 4.540612
15 Round 3: 4.685129
12 Round 4: 4.031492
13 Round 5: 4.142608
15 Round 6: 4.736631
12 Round 7: 4.206038
14 Round 8: 4.199515
15 Round 9: 4.365184
14 Round 10: 4.066488
9 Warmup Round: 3.563223
13 Round 1: 3.637141
9 Round 2: 3.682435
9 Round 3: 3.596507
9 Round 4: 3.562253
10 Round 5: 3.540197
9 Round 6: 3.603364
11 Round 7: 3.514795
9 Round 8: 3.502868
11 Round 9: 3.431987
9 Round 10: 3.477953
Average time: 4.336616	3.554950

