Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/sd_arc_sym.bin: |V|=89247739, |E|=3880015728, param=16384, num_src=25, num_round=10
108 Round 8: 2.525910
108 Round 9: 2.877517
108 Round 10: 3.124471
46 Warmup Round: 2.156913
46 Round 1: 2.040418
46 Round 2: 2.055959
46 Round 3: 2.100926
46 Round 4: 2.156580
46 Round 5: 2.090125
46 Round 6: 2.113276
46 Round 7: 2.127623
46 Round 8: 2.095306
46 Round 9: 2.071598
46 Round 10: 2.044172
Average time: 2.899167	2.089598

source 19: 36608908  
116 Warmup Round: 2.614651
116 Round 1: 2.929915
115 Round 2: 2.665107
115 Round 3: 2.598331
116 Round 4: 2.731716
116 Round 5: 2.934557
116 Round 6: 2.787030
116 Round 7: 2.827992
117 Round 8: 2.875657
115 Round 9: 2.564260
116 Round 10: 2.899251
55 Warmup Round: 2.365618
55 Round 1: 2.360591
55 Round 2: 2.206832
55 Round 3: 2.395751
55 Round 4: 2.380273
55 Round 5: 2.238934
55 Round 6: 2.290199
55 Round 7: 2.290101
55 Round 8: 2.698728
55 Round 9: 2.465138
55 Round 10: 2.285852
Average time: 2.781382	2.361240

source 20: 68187494  
110 Warmup Round: 2.870894
109 Round 1: 2.958941
110 Round 2: 2.779796
110 Round 3: 2.716396
110 Round 4: 2.904065
109 Round 5: 2.982690
109 Round 6: 2.877186
109 Round 7: 2.914311
109 Round 8: 2.837478
112 Round 9: 2.932756
109 Round 10: 3.103662
51 Warmup Round: 2.318976
51 Round 1: 2.245594
51 Round 2: 2.402351
51 Round 3: 2.459668
51 Round 4: 2.346769
51 Round 5: 2.425192
51 Round 6: 2.333507
51 Round 7: 2.327160
51 Round 8: 2.387473
51 Round 9: 2.377731
51 Round 10: 2.298281
Average time: 2.900728	2.360373

source 21: 236499    
120 Warmup Round: 2.827808
121 Round 1: 3.169427
122 Round 2: 2.900615
121 Round 3: 2.946882
121 Round 4: 2.944181
121 Round 5: 3.058186
121 Round 6: 2.987745
122 Round 7: 2.873791
126 Round 8: 3.022076
121 Round 9: 3.190794
122 Round 10: 2.810037
60 Warmup Round: 2.392471
60 Round 1: 2.383529
59 Round 2: 2.405140
60 Round 3: 2.441010
60 Round 4: 2.350643
59 Round 5: 2.434016
60 Round 6: 2.359179
60 Round 7: 2.445792
60 Round 8: 2.400313
59 Round 9: 2.425044
60 Round 10: 2.479519
Average time: 2.990373	2.412419

source 22: 60936729  
111 Warmup Round: 2.994439
110 Round 1: 2.766949
111 Round 2: 3.075078
112 Round 3: 2.742501
111 Round 4: 3.166994
111 Round 5: 3.049255
110 Round 6: 2.798718
111 Round 7: 3.108301
113 Round 8: 3.104629
115 Round 9: 3.100694
111 Round 10: 3.183933
50 Warmup Round: 2.448087
51 Round 1: 2.533645
50 Round 2: 2.344726
49 Round 3: 2.432219
49 Round 4: 2.363000
50 Round 5: 2.427020
50 Round 6: 2.455105
50 Round 7: 2.341747
50 Round 8: 2.432159
50 Round 9: 2.389203
50 Round 10: 2.428366
Average time: 3.009705	2.414719

source 23: 64381898  
112 Warmup Round: 3.500145
112 Round 1: 3.636607
112 Round 2: 3.105612
111 Round 3: 3.265877
111 Round 4: 3.242271
111 Round 5: 3.141128
111 Round 6: 3.329046
111 Round 7: 3.195230
111 Round 8: 3.299405
111 Round 9: 3.146501
113 Round 10: 3.424212
50 Warmup Round: 2.628864
49 Round 1: 2.615049
50 Round 2: 2.624105
53 Round 3: 2.588437
52 Round 4: 2.684174
49 Round 5: 2.714004
51 Round 6: 2.625097
50 Round 7: 2.679814
49 Round 8: 2.672081
51 Round 9: 2.661888
50 Round 10: 2.653118
Average time: 3.278589	2.651777

source 24: 14983901  
109 Warmup Round: 3.027946
110 Round 1: 3.351728
111 Round 2: 3.528452
110 Round 3: 3.640021
109 Round 4: 3.701380
110 Round 5: 3.344623
110 Round 6: 3.785342
110 Round 7: 3.539683
110 Round 8: 3.520714
113 Round 9: 3.513302
109 Round 10: 3.514434
51 Warmup Round: 2.601025
51 Round 1: 2.834770
52 Round 2: 2.509020
51 Round 3: 2.781977
51 Round 4: 2.608746
53 Round 5: 2.776272
51 Round 6: 2.911097
52 Round 7: 2.525644
51 Round 8: 2.739421
51 Round 9: 2.433777
52 Round 10: 2.612756
Average time: 3.543968	2.673348

