Reading graph...
Info: Reading pbbs format
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/ezhu021/graph/RoadUSA_sym_wgh.adj: |V|=23947348, |E|=57708624, param=524288, num_src=1, num_round=1
source 0: 4278411   
frontier_size: 111348 	 relax: 0.021413 	 pack: 0.000009
frontier_size: 111167 	 relax: 0.020980 	 pack: 0.000007
frontier_size: 124704 	 relax: 0.011835 	 pack: 0.000005
frontier_size: 98984 	 relax: 0.017169 	 pack: 0.000009
frontier_size: 80206 	 relax: 0.016035 	 pack: 0.000008
frontier_size: 60179 	 relax: 0.016847 	 pack: 0.000007
frontier_size: 49543 	 relax: 0.020455 	 pack: 0.000006
frontier_size: 37808 	 relax: 0.003249 	 pack: 0.000003
frontier_size: 24627 	 relax: 0.009480 	 pack: 0.000003
frontier_size: 16925 	 relax: 0.002023 	 pack: 0.000002
frontier_size: 13452 	 relax: 0.001556 	 pack: 0.000002
frontier_size: 11712 	 relax: 0.013682 	 pack: 0.000002
frontier_size: 6854 	 relax: 0.001409 	 pack: 0.000001
frontier_size: 5747 	 relax: 0.001532 	 pack: 0.000001
frontier_size: 5413 	 relax: 0.001150 	 pack: 0.000001
frontier_size: 3328 	 relax: 0.001172 	 pack: 0.000001
frontier_size: 910 	 relax: 0.012816 	 pack: 0.000002
frontier_size: 198 	 relax: 0.001137 	 pack: 0.000001
frontier_size: 0 	 relax: 0.000089 	 pack: 0.000001
119 Round 1: 3.565845
frontier_size: 1 	 relax: 0.008579 	 pack: 0.004874
frontier_size: 491 	 relax: 0.009080 	 pack: 0.000006
frontier_size: 3442 	 relax: 0.005146 	 pack: 0.000003
frontier_size: 3945 	 relax: 0.010619 	 pack: 0.000006
frontier_size: 3170 	 relax: 0.012228 	 pack: 0.000004
frontier_size: 1291 	 relax: 0.001077 	 pack: 0.000002
frontier_size: 1310 	 relax: 0.007448 	 pack: 0.000003
frontier_size: 1405 	 relax: 0.007286 	 pack: 0.000003
frontier_size: 728 	 relax: 0.001560 	 pack: 0.000001
frontier_size: 450 	 relax: 0.000598 	 pack: 0.000001
frontier_size: 549 	 relax: 0.000677 	 pack: 0.000001
frontier_size: 1816 	 relax: 0.017794 	 pack: 0.000006
frontier_size: 3627 	 relax: 0.002586 	 pack: 0.000002
frontier_size: 5797 	 relax: 0.011015 	 pack: 0.000002
frontier_size: 2194 	 relax: 0.009467 	 pack: 0.000004
frontier_size: 1954 	 relax: 0.005975 	 pack: 0.000006
frontier_size: 1554 	 relax: 0.002938 	 pack: 0.000002
frontier_size: 990 	 relax: 0.003575 	 pack: 0.000002
frontier_size: 1214 	 relax: 0.008974 	 pack: 0.000002
frontier_size: 2768 	 relax: 0.001654 	 pack: 0.000001
frontier_size: 1194 	 relax: 0.003790 	 pack: 0.000002
frontier_size: 1182 	 relax: 0.002159 	 pack: 0.000001
frontier_size: 1067 	 relax: 0.000677 	 pack: 0.000001
frontier_size: 5423 	 relax: 0.011656 	 pack: 0.000002
frontier_size: 2612 	 relax: 0.001652 	 pack: 0.000001
frontier_size: 2748 	 relax: 0.002690 	 pack: 0.000002
frontier_size: 2069 	 relax: 0.003640 	 pack: 0.000001
frontier_size: 1296 	 relax: 0.001542 	 pack: 0.000001
frontier_size: 760 	 relax: 0.004031 	 pack: 0.000001
frontier_size: 800 	 relax: 0.000794 	 pack: 0.000001
frontier_size: 910 	 relax: 0.000422 	 pack: 0.000001
frontier_size: 825 	 relax: 0.000363 	 pack: 0.000001
frontier_size: 668 	 relax: 0.000459 	 pack: 0.000001
frontier_size: 1717 	 relax: 0.003651 	 pack: 0.000001
frontier_size: 1277 	 relax: 0.004079 	 pack: 0.000008
frontier_size: 3044 	 relax: 0.001121 	 pack: 0.000002
frontier_size: 2435 	 relax: 0.001413 	 pack: 0.000002
frontier_size: 1273 	 relax: 0.002141 	 pack: 0.000002
frontier_size: 960 	 relax: 0.003439 	 pack: 0.000006
frontier_size: 1451 	 relax: 0.002414 	 pack: 0.000001
frontier_size: 1688 	 relax: 0.003687 	 pack: 0.000003
frontier_size: 2456 	 relax: 0.004039 	 pack: 0.000002
frontier_size: 3096 	 relax: 0.001102 	 pack: 0.000002
frontier_size: 2160 	 relax: 0.001434 	 pack: 0.000001
frontier_size: 1923 	 relax: 0.002907 	 pack: 0.000001
frontier_size: 1955 	 relax: 0.002411 	 pack: 0.000002
frontier_size: 2637 	 relax: 0.004242 	 pack: 0.000064
frontier_size: 2730 	 relax: 0.001070 	 pack: 0.000002
frontier_size: 3212 	 relax: 0.001086 	 pack: 0.000002
frontier_size: 5796 	 relax: 0.001505 	 pack: 0.000003
frontier_size: 3500 	 relax: 0.005853 	 pack: 0.000005
frontier_size: 8043 	 relax: 0.004579 	 pack: 0.000002
frontier_size: 12372 	 relax: 0.005226 	 pack: 0.000002
frontier_size: 7065 	 relax: 0.005139 	 pack: 0.000004
frontier_size: 4355 	 relax: 0.001047 	 pack: 0.000001
frontier_size: 4775 	 relax: 0.003068 	 pack: 0.000002
frontier_size: 4841 	 relax: 0.001081 	 pack: 0.000001
frontier_size: 9409 	 relax: 0.004083 	 pack: 0.000003
frontier_size: 3801 	 relax: 0.002384 	 pack: 0.000002
frontier_size: 3257 	 relax: 0.002523 	 pack: 0.000001
frontier_size: 3128 	 relax: 0.001210 	 pack: 0.000001
frontier_size: 3807 	 relax: 0.001116 	 pack: 0.000001
frontier_size: 3197 	 relax: 0.002043 	 pack: 0.000001
frontier_size: 3710 	 relax: 0.002528 	 pack: 0.000001
frontier_size: 10070 	 relax: 0.002400 	 pack: 0.000008
frontier_size: 6285 	 relax: 0.004150 	 pack: 0.000004
frontier_size: 2839 	 relax: 0.000992 	 pack: 0.000001
frontier_size: 4384 	 relax: 0.002115 	 pack: 0.000001
frontier_size: 2926 	 relax: 0.002660 	 pack: 0.000003
frontier_size: 3825 	 relax: 0.002149 	 pack: 0.000003
frontier_size: 4632 	 relax: 0.002806 	 pack: 0.000001
frontier_size: 5050 	 relax: 0.003518 	 pack: 0.000001
frontier_size: 7302 	 relax: 0.003501 	 pack: 0.000001
frontier_size: 6069 	 relax: 0.001953 	 pack: 0.000001
frontier_size: 5377 	 relax: 0.001894 	 pack: 0.000001
frontier_size: 4035 	 relax: 0.001537 	 pack: 0.000001
frontier_size: 2509 	 relax: 0.003468 	 pack: 0.000004
frontier_size: 3152 	 relax: 0.002820 	 pack: 0.000003
frontier_size: 3753 	 relax: 0.001314 	 pack: 0.000001
frontier_size: 2288 	 relax: 0.001565 	 pack: 0.000001
frontier_size: 2683 	 relax: 0.002303 	 pack: 0.000001
frontier_size: 3490 	 relax: 0.002891 	 pack: 0.000001
frontier_size: 5094 	 relax: 0.001194 	 pack: 0.000001
frontier_size: 4386 	 relax: 0.001128 	 pack: 0.000001
frontier_size: 12310 	 relax: 0.001765 	 pack: 0.000001
frontier_size: 7380 	 relax: 0.001646 	 pack: 0.000001
frontier_size: 6443 	 relax: 0.002455 	 pack: 0.000001
frontier_size: 8336 	 relax: 0.003574 	 pack: 0.000001
frontier_size: 7879 	 relax: 0.001404 	 pack: 0.000001
frontier_size: 6017 	 relax: 0.001717 	 pack: 0.000001
frontier_size: 6833 	 relax: 0.002092 	 pack: 0.000001
frontier_size: 6818 	 relax: 0.001304 	 pack: 0.000001
frontier_size: 4142 	 relax: 0.002073 	 pack: 0.000002
frontier_size: 4479 	 relax: 0.002264 	 pack: 0.000002
frontier_size: 659 	 relax: 0.001364 	 pack: 0.000001
frontier_size: 243 	 relax: 0.000828 	 pack: 0.000001
frontier_size: 148 	 relax: 0.000432 	 pack: 0.000001
frontier_size: 93 	 relax: 0.000133 	 pack: 0.000001
frontier_size: 74 	 relax: 0.000227 	 pack: 0.000001
frontier_size: 45 	 relax: 0.000068 	 pack: 0.000001
frontier_size: 50 	 relax: 0.000090 	 pack: 0.000000
frontier_size: 62 	 relax: 0.000072 	 pack: 0.000001
frontier_size: 41 	 relax: 0.000063 	 pack: 0.000000
frontier_size: 16 	 relax: 0.000164 	 pack: 0.000001
frontier_size: 0 	 relax: 0.000028 	 pack: 0.000000
105 Warmup Round: 0.397930
frontier_size: 1 	 relax: 0.000916 	 pack: 0.003047
frontier_size: 491 	 relax: 0.001318 	 pack: 0.000002
frontier_size: 2959 	 relax: 0.004130 	 pack: 0.000006
frontier_size: 3960 	 relax: 0.001575 	 pack: 0.000001
frontier_size: 3326 	 relax: 0.001576 	 pack: 0.000001
frontier_size: 1353 	 relax: 0.001061 	 pack: 0.000001
frontier_size: 1354 	 relax: 0.001033 	 pack: 0.000001
frontier_size: 888 	 relax: 0.000962 	 pack: 0.000001
frontier_size: 666 	 relax: 0.000642 	 pack: 0.000001
frontier_size: 496 	 relax: 0.000679 	 pack: 0.000001
frontier_size: 590 	 relax: 0.000774 	 pack: 0.000001
frontier_size: 1765 	 relax: 0.000845 	 pack: 0.000001
frontier_size: 2979 	 relax: 0.001179 	 pack: 0.000001
frontier_size: 5141 	 relax: 0.001460 	 pack: 0.000001
frontier_size: 2016 	 relax: 0.001070 	 pack: 0.000002
frontier_size: 1740 	 relax: 0.000855 	 pack: 0.000080
frontier_size: 1632 	 relax: 0.000806 	 pack: 0.000001
frontier_size: 1060 	 relax: 0.000750 	 pack: 0.000001
frontier_size: 951 	 relax: 0.000585 	 pack: 0.000001
frontier_size: 2888 	 relax: 0.001226 	 pack: 0.000001
frontier_size: 1151 	 relax: 0.002179 	 pack: 0.000004
frontier_size: 999 	 relax: 0.000557 	 pack: 0.000001
frontier_size: 1085 	 relax: 0.000613 	 pack: 0.000001
frontier_size: 4571 	 relax: 0.001451 	 pack: 0.000001
frontier_size: 2576 	 relax: 0.002240 	 pack: 0.000004
